"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치연월,관리기관전화번호,위도,경도,데이터기준일자
"제주특별자치도",제주특별자치도 제주시 관덕로7길 33,제주특별자치도 제주시 삼도이동 12-13,생활방범,1,,탑동컴퓨터세탁소 앞,30,,064-728-2101,33.516200,126.523275,2021-01-06
"제주특별자치도",제주특별자치도 제주시 중앙로 517,제주특별자치도 제주시 아라일동 6101,생활방범,4,,아라초 앞 도로,30,,064-728-2101,33.476842,126.544149,2021-01-06
"제주특별자치도",제주특별자치도 제주시 연북로 610,제주특별자치도 제주시 이도이동 695-3,생활방범,4,,영지학교 앞 도로,30,,064-728-2101,33.489566,126.543577,2021-01-06
"제주특별자치도",제주특별자치도 제주시 한림읍 한림로4길 25,제주특별자치도 제주시 한림읍 한림리 1582,생활방범,5,,한림초 동측 GS25,30,,064-728-2101,33.410491,126.262681,2021-01-06
"제주특별자치도",제주특별자치도 제주시 삼봉로2길 16,제주특별자치도 제주시 삼양이동 2336,생활방범,4,,삼양체육관 옆,30,,064-728-2101,33.519616,126.586336,2021-01-06
"제주특별자치도",제주특별자치도 제주시 동광로5길 19-16,제주특별자치도 제주시 이도일동 1294,생활방범,4,,광양초 후문,30,,064-728-2101,33.502986,126.529556,2021-01-06
"제주특별자치도",제주특별자치도 제주시 신산로4길 35,제주특별자치도 제주시 일도이동 1050-1,생활방범,4,,일도초 부근,30,,064-728-2101,33.509875,126.528530,2021-01-06
"제주특별자치도",제주특별자치도 제주시 한림읍 문교길 50,제주특별자치도 제주시 한림읍 한림리 1494-5,생활방범,4,,한림여중 후문부근,30,,064-728-2101,33.409782,126.260570,2021-01-06
"제주특별자치도",제주특별자치도 제주시 문화마을길 5-5,제주특별자치도 제주시 화북이동 4942-8,생활방범,4,,제주교대 맞은편,30,,064-728-2101,33.513309,126.553507,2021-01-06
"제주특별자치도",제주특별자치도 제주시 동광로1길 6,제주특별자치도 제주시 이도일동 1294,생활방범,4,,광양초 정문,30,,064-728-2101,33.501624,126.529324,2021-01-06
"제주특별자치도",제주특별자치도 제주시 도남로12길 12,제주특별자치도 제주시 도남동 91-1,생활방범,5,,도남청소년문화의집,30,,064-728-2101,33.492868,126.527305,2021-01-06
"제주특별자치도",제주특별자치도 제주시 신산로15길 21,제주특별자치도 제주시 일도이동 341-4,생활방범,5,,현대모비스 부품점,30,,064-728-2101,33.506127,126.537518,2021-01-06
"제주특별자치도",제주특별자치도 제주시 흥운길 28,제주특별자치도 제주시 용담이동 358-33,생활방범,5,,용담2동 주민센터 앞,30,,064-728-2101,33.511232,126.511860,2021-01-06
"제주특별자치도",제주특별자치도 제주시 도리중길 7,제주특별자치도 제주시 도두일동 2439-1,생활방범,4,,도리초 후문,30,,064-728-2101,33.502395,126.465551,2021-01-06
"제주특별자치도",제주특별자치도 제주시 무근성7길 28,제주특별자치도 제주시 삼도이동 1053-10,생활방범,5,,대림바이크 앞,30,,064-728-2101,33.514763,126.521015,2021-01-06
"제주특별자치도",제주특별자치도 제주시 관덕로3길 17,제주특별자치도 제주시 삼도이동 1053-4,생활방범,4,,제주북초정문 서측,30,,064-728-2101,33.514712,126.521626,2021-01-06
"제주특별자치도",제주특별자치도 제주시 북성로 31,제주특별자치도 제주시 삼도이동 1222-2,생활방범,5,,우진빌라 앞,30,,064-728-2101,33.515738,126.521609,2021-01-06
"제주특별자치도",제주특별자치도 제주시 아봉로 240,제주특별자치도 제주시 영평동 1873-3,생활방범,4,,영평상동복지회관 입구,30,,064-728-2101,33.476859,126.567756,2021-01-06
"제주특별자치도",제주특별자치도 제주시 남광로4길 29,제주특별자치도 제주시 이도이동 2062,생활방범,4,,중앙여고 서측 후문,30,,064-728-2101,33.491056,126.540264,2021-01-06
"제주특별자치도",제주특별자치도 제주시 연화로 45,제주특별자치도 제주시 연동 1546,생활방범,4,,리츠칼투어 앞,30,,064-728-2101,33.477809,126.487497,2021-01-06
"제주특별자치도",제주특별자치도 제주시 구좌읍 한동북3길 13,제주특별자치도 제주시 구좌읍 한동리 4848,생활방범,3,,한동초교 뒤,30,,064-728-2101,33.538564,126.830156,2021-01-06
"제주특별자치도",제주특별자치도 제주시 한림읍 문교길 15,제주특별자치도 제주시 한림읍 한림리 1582,생활방범,5,,영신아파트사거리,30,,064-728-2101,33.410889,126.263741,2021-01-06
"제주특별자치도",제주특별자치도 제주시 중앙로14길 21,제주특별자치도 제주시 삼도이동 1222-28,생활방범,4,,제주대학교 창업보육센터 후문,30,,064-728-2101,33.510397,126.522004,2021-01-06
"제주특별자치도",제주특별자치도 제주시 용남2길 19,제주특별자치도 제주시 용담일동 2583,생활방범,5,,한밭빌라 사거리,30,,064-728-2101,33.508096,126.513123,2021-01-06
"제주특별자치도",제주특별자치도 제주시 연무정동2길 8,제주특별자치도 제주시 건입동 1077-25,생활방범,4,,한미기획 인쇄사 삼거리,30,,064-728-2101,33.514811,126.534356,2021-01-06
"제주특별자치도",제주특별자치도 제주시 조천읍 선흘동1길 39,제주특별자치도 제주시 조천읍 선흘리 4199,생활방범,4,,선흘분교정문삼거리,30,,064-728-2101,33.514240,126.704737,2021-01-06
"제주특별자치도",제주특별자치도 제주시 남광로 28,제주특별자치도 제주시 이도이동 1972-7,생활방범,5,,남광초 남측 산지6교 옆,30,,064-728-2101,33.492915,126.540603,2021-01-06
