식당명,음식,주소,gyung,wedo
365붉은대게공판장,홍게찜,강원 속초시 청호동 1341-1,128.594191823732,38.1930651442522
산정집,소고기말이,강원 원주시 일산동 217-8,127.946089203418,37.3515498190558
고향집식당,비지찌개,강원 인제군 기린면 현리 196,128.329015752188,37.9456830423976
회동집,콧등치기 국수 #모듬전,강원 정선군 정선읍 봉양리 344-1,128.664797534616,37.3811107361666
평창송어의집,송어회,강원 평창군 평창읍 상리 239,128.415165407648,37.3638638084816
박현자네더덕,더덕 돼지 주물럭,강원 횡성군 횡성읍 곡교리 127-3,127.974619590681,37.4602732516408
바로방,고로케,강원도 강릉시 금학동 16-2,128.895946414571,37.7543689343231
해성횟집,삼숙이탕,강원도 강릉시 성남동 50,128.898622022053,37.7540225336995
연곡꾹저구탕,꾹저구탕,강원도 강릉시 연곡면 방내리 69-4,128.831967448556,37.8586268962764
현대장칼국수,장칼국수,강원도 강릉시 임당동 187-11,128.892662075567,37.7574805527219
장미경양식,옛날돈가스,강원도 고성군 거진읍 거진리 277-7,128.454633721362,38.4474212988011
백촌막국수,막국수,강원도 고성군 토성면 백촌리 162,128.54179659165,38.2930575424421
황가네찜,생선찜,강원도 속초시 영랑동 129,128.598015884208,38.2144842531015
이조면옥,냉면,강원도 속초시 조양동 1490-261,128.601581301894,38.1855824533344
봉포머구리집,물회,강원도 속초시 조양동 1552-6,128.588439148282,38.1903644675177
만석닭강정 중앙시장점,닭강정,강원도 속초시 중앙동 471-4,128.590178479006,38.2045420237096
일미강정식당,닭강정,강원도 영월군 영월읍 영흥리 947-56,128.46725815384,37.1831203058881
용바위식당,황태해장국,강원도 인제군 북면 용대리 71-3,128.367643174295,38.2243201715238
인제재래식손두부,두부요리,강원도 인제군 인제읍 인제로 178번길 52-10,128.172948819814,38.0639537512656
통나무닭갈비,닭갈비,강원도 춘천시 신북읍 천전리 38-26,127.793288517271,37.9330389872733
원조숯불닭불고기,닭불고기,강원도 춘천시 중앙로2가 70,127.727838611876,37.8800050572238
태백닭갈비,닭갈비,강원도 태백시 황지동 44-63,128.990669077372,37.1713921674182
메밀나라,메밀전병,강원도 평창군 평창읍 하리 55-11,128.394568060012,37.3668475819955
생곡막국수,막국수,강원도 홍천군 서석면 생곡리 694,128.224379798808,37.7004930427095
원조카우보이한방통닭,장작구이통닭,경기 고양시 덕양구 용두동 432-46,126.89503780746,37.6264172368591
포사이,쌀국수,경기 광주시 퇴촌면 도수리 89-8,127.350286036374,37.4771622371635
묘향손만두,오이지 국수 #평양 만두,경기 구리시 아천동 300-8,127.11486469782,37.5639885208826
오달통분식,라쫄 떡볶이,경기 김포시 북변동 411-9,126.710630562546,37.6246608585514
안마을돼지불백,돼지불백,경기 남양주시 진접읍 내곡리 251-3,127.162137412128,37.6897978960511
진미옥설렁탕,수육전골찜,경기 동두천시 생연동 584-20,127.053119114485,37.9090331600897
위드유,생면파스타,경기 안산시 단원구 고잔동 726-9,126.831637311876,37.3135975768587
쿠시카츠쿠마,쿠시카츠,경기 안양시 동안구 관양동 1601 ,126.962415347244,37.3940445439799
후리지아,김치볶음밥,경기 양평군 양평읍 양근리 345-9,127.489631698841,37.4900894317981
용문원조능이버섯국밥,능이버섯전골,경기 양평군 용문면 다문리 737-34,127.593696025733,37.4829862938087
영돈분식버거,주먹밥 #탕수육,경기 이천시 중리동 219-1,127.447160859281,37.2770835022538
토스트킹,토스트,경기 평택시 이충동 517-3,127.056102477104,37.0508207587555
향유갈비,포천 이동갈비,경기 포천시 이동면 성장로 1287-13,127.364439017618,38.0329059650247
산골농원,닭볶음탕,경기도 가평군 설악면 가일리 86-1,127.509990326989,37.5962778943952
